#F=N,X,Y,Z
IMG_0945_RGB.tif,-4.018518613822,52.5100451524369,127.42499999854
IMG_0946_RGB.tif,-4.01821870713575,52.5099832908527,127.45499999854
IMG_0947_RGB.tif,-4.01782384199718,52.5098952170599,127.01799999854
IMG_0948_RGB.tif,-4.01751756882477,52.5098217843918,127.32699999854
IMG_0949_RGB.tif,-4.01719233940899,52.5097321633928,127.32799999854
IMG_0950_RGB.tif,-4.01687535426916,52.5096376127025,126.98599999854
IMG_0951_RGB.tif,-4.016557460907,52.5095457234929,126.66599999854
IMG_0952_RGB.tif,-4.01626273963406,52.5094662355548,126.43799999854
IMG_0953_RGB.tif,-4.01589174104148,52.5093791737717,126.53999999854
IMG_0954_RGB.tif,-4.01554050500451,52.5093001162,126.82699999854
IMG_0955_RGB.tif,-4.01519761512375,52.5092095432079,127.34199999854
IMG_1032_RGB.tif,-4.01519958577919,52.5088991705195,127.04299999854
IMG_1033_RGB.tif,-4.01564668896203,52.509040481009,127.90499999854
IMG_1034_RGB.tif,-4.01593974929285,52.5091402613788,128.79399999854
IMG_1035_RGB.tif,-4.01623974818323,52.509231830991,129.71499999854
IMG_1036_RGB.tif,-4.01648736605643,52.5092973153655,128.90099999854
IMG_1037_RGB.tif,-4.01691275236575,52.5093966496393,126.11599999854
IMG_1038_RGB.tif,-4.01722269738641,52.509470354128,124.69199999854
IMG_1039_RGB.tif,-4.01752723329623,52.5095549274726,123.85599999854
IMG_1040_RGB.tif,-4.01783236161805,52.5096401399287,124.74699999854
IMG_1041_RGB.tif,-4.018111297268,52.5097172970915,126.71199999854
IMG_1042_RGB.tif,-4.01840468539223,52.5098070048202,127.05899999854
IMG_1043_RGB.tif,-4.01870559073819,52.5098904922807,126.82599999854
IMG_1044_RGB.tif,-4.01901320159061,52.5099715899287,126.45699999854
IMG_1045_RGB.tif,-4.01936323360633,52.5100678752642,125.87499999854
IMG_1046_RGB.tif,-4.01962880731724,52.5101483009242,125.94199999854
IMG_1047_RGB.tif,-4.01993104537096,52.5102610384035,125.60499999854
IMG_1048_RGB.tif,-4.02022345386227,52.5103694079062,125.91399999854
IMG_1049_RGB.tif,-4.0205351972534,52.5104647042052,126.51699999854
IMG_1067_RGB.tif,-4.02112408282196,52.5099400473011,122.98699999854
IMG_1068_RGB.tif,-4.02073550667114,52.5099294693899,124.51999999854
IMG_1069_RGB.tif,-4.02036889779382,52.5099052036089,125.21199999854
IMG_1070_RGB.tif,-4.02002326066451,52.5098472367075,126.48399999854
IMG_1071_RGB.tif,-4.0196691485407,52.5097564834762,127.86799999854
